CompanyName,localauthority_name,postcode,accountcode,Employees_thisyear,Employees_lastyear,percent_changefromprevyear,SIC_5DIGIT_CODE,SIC_5DIGIT_NAME,SIC_2DIGIT_CODE,SIC_2DIGIT_CODE_NUMERIC,SIC_2DIGIT_NAME,SIC_3DIGIT_CODE,SIC_3DIGIT_NAME,SIC_SECTION_LETTER,SIC_SECTION_CODE,SIC_SECTION_NAME,incorporationdate_formatted,age_of_firm_years
PRIMARY CARE DONCASTER LIMITED,Doncaster,DN48QN,20240331,174,177,-1.69,86210,86210 : General medical practice activities,86,86,86 : Human health activities,862,862 : Medical and dental practice activities,Q,Q (86-88),Human health and social work activities,2017-06-16T00:00:00Z,8.065753424657535
CAUSEWAY CHARITABLE SERVICES,Sheffield,S14QZ,20240331,173,150,15.33,87900,87900 : Other residential care activities,87,87,87 : Residential care activities,879,879 : Other residential care activities,Q,Q (86-88),Human health and social work activities,2005-03-17T00:00:00Z,20.323287671232876
CURA TERRAE LAND AND NATURE LIMITED,Sheffield,S47UQ,20231231,172,160,7.5,74901,74901 : Environmental consulting activities,74,74,"74 : Other professional, scientific and technical activities",749,"749 : Other professional, scientific and technical activities n.e.c.",M,M (69-75),"Professional, scientific and technical activities",2000-10-26T00:00:00Z,24.715068493150685
CHOICES HOMECARE (SOUTH YORKS) LIMITED,Barnsley,S752BL,20240731,170,273,-37.73,88100,88100 : Social work activities without accommodation for the elderly and disabled,88,88,88 : Social work activities without accommodation,881,881 : Social work activities without accommodation for the elderly and disabled,Q,Q (86-88),Human health and social work activities,2005-11-24T00:00:00Z,19.632876712328766
QUALITY PET CARE LTD,Rotherham,S653EW,20240430,170,192,-11.46,75000,75000 : Veterinary activities,75,75,75 : Veterinary activities,750,750 : Veterinary activities,M,M (69-75),"Professional, scientific and technical activities",2012-10-11T00:00:00Z,12.747945205479452
BULLSEYE SUPERFACTORS LTD,Doncaster,DN59SE,20240331,169,162,4.32,45310,45310 : Wholesale trade of motor vehicle parts and accessories,45,45,45 : Wholesale and retail trade and repair of motor vehicles and motorcycles,453,453 : Sale of motor vehicle parts and accessories,G,G (45-47),Wholesale and retail trade; repair of motor vehicles,1995-12-22T00:00:00Z,29.564383561643837
JUNCTION 4 PALLETS LIMITED,Doncaster,DN33EA,20240731,168,165,1.82,32990,32990 : Other manufacturing nec,32,32,32 : Other manufacturing,329,329 : Other manufacturing,C,C (10-33),Manufacturing,2006-09-18T00:00:00Z,18.816438356164383
FUSCO BROWNE HEALTHCARE LTD,Sheffield,S38GG,20240930,167,145,15.17,86900,86900 : Other human health activities,86,86,86 : Human health activities,869,869 : Other human health activities,Q,Q (86-88),Human health and social work activities,2015-09-21T00:00:00Z,9.802739726027397
TALSTAFF LIMITED,Barnsley,S630JF,20240331,167,219,-23.74,78200,78200 : Temporary employment agency activities,78,78,78 : Employment activities,782,782 : Temporary employment agency activities,N,N (77-82),Administrative and support service activities,2000-03-13T00:00:00Z,25.336986301369862
EUROSAFE SOLUTIONS LIMITED,Sheffield,S139NR,20240630,166,133,24.81,43290,43290 : Other construction installation,43,43,43 : Specialised construction activities,432,"432 : Electrical, plumbing and other construction installation activities",F,F (41-43),Construction,1999-10-01T00:00:00Z,25.786301369863015
A.E.SPINK LIMITED,Doncaster,DN13RA,20231130,163,150,8.67,46730,"46730 : Wholesale of wood, construction materials and sanitary equipment",46,46,"46 : Wholesale trade, except of motor vehicles and motorcycles",467,467 : Other specialised wholesale,G,G (45-47),Wholesale and retail trade; repair of motor vehicles,1926-06-25T00:00:00Z,99.1041095890411
STANTON LOGISTICS LIMITED,Barnsley,S630JF,20240331,163,166,-1.81,49410,49410 : Freight transport by road,49,49,49 : Land transport and transport via pipelines,494,494 : Freight transport by road and removal services,H,H (49-53),Transportation and storage,2007-04-02T00:00:00Z,18.279452054794522
ASD LIGHTING PLC,Rotherham,S614RJ,20240630,162,163,-0.61,27400,27400 : Manufacture of electric lighting equipment,27,27,27 : Manufacture of electrical equipment,274,274 : Manufacture of electric lighting equipment,C,C (10-33),Manufacturing,1982-11-12T00:00:00Z,42.68219178082192
REFOOD UK LIMITED,Doncaster,DN59TL,20231231,162,159,1.89,35110,35110 : Production of electricity,35,35,"35 : Electricity, gas, steam and air conditioning supply",351,"351 : Electric power generation, transmission and distribution",D,D (35),"Electricity, gas, steam and air conditioning supply",2008-04-10T00:00:00Z,17.254794520547946
RAPID RESPONSE TELECOMS LTD,Barnsley,S751HT,20240731,160,NA,NA,42220,42220 : Construction of utility projects for electricity and telecommunications,42,42,42 : Civil engineering,422,422 : Construction of utility projects,F,F (41-43),Construction,2018-07-24T00:00:00Z,6.961643835616439
R. PLEVIN & SONS LIMITED,Barnsley,S364HG,20230831,158,182,-13.19,16100,16100 : Sawmilling and planing of wood,16,16,"16 : Manufacture of wood and of products of wood and cork, except furniture;manufacture of articles of straw and plaiting materials",161,161 : Sawmilling and planing of wood,C,C (10-33),Manufacturing,1974-05-01T00:00:00Z,51.221917808219175
SPARKS TEACHING SERVICES LTD,Sheffield,S22RL,20240731,158,162,-2.47,78200,78200 : Temporary employment agency activities,78,78,78 : Employment activities,782,782 : Temporary employment agency activities,N,N (77-82),Administrative and support service activities,2012-05-29T00:00:00Z,13.117808219178082
MIS CONVERSIONS LTD,Doncaster,DN31QR,20240430,155,127,22.05,29201,29201 : Manufacture of bodies (coachwork) for motor vehicles (except caravans),29,29,"29 : Manufacture of motor vehicles, trailers and semi-trailers",292,292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semitrailers,C,C (10-33),Manufacturing,2006-01-04T00:00:00Z,19.52054794520548
DGCC LIMITED,Sheffield,S205EA,20240331,152,153,-0.65,93110,93110 : Operation of sports facilities,93,93,93 : Sports activities and amusement and recreation activities,931,931 : Sports activities,R,R (90-93),"Arts, entertainment and recreation",1995-11-30T00:00:00Z,29.624657534246577
LIBERTY GROUP HOLDINGS LTD,Sheffield,S11WR,20240630,151,148,2.03,64209,"64209 : Activities of other holding companies (not including agricultural, production, construction, distribution and financial  services holding companies) n.e.c",64,64,"64 : Financial service activities, except insurance and pension funding",642,642 : Activities of holding companies,K,K (64-66),Financial and insurance activities,1996-08-28T00:00:00Z,28.87945205479452
ONE CALL CLAIMS LIMITED,Doncaster,DN45JQ,20231231,151,123,22.76,82990,82990 : Other business support service activities nec,82,82,"82 : Office administrative, office support and other business support activities",829,829 : Business support service activities n.e.c.,N,N (77-82),Administrative and support service activities,2003-03-14T00:00:00Z,22.334246575342465
ROAD TANKERS (NORTHERN) LIMITED,Sheffield,S91RT,20240831,151,134,12.69,29202,29202 : Manufacture of trailers and semi-trailers,29,29,"29 : Manufacture of motor vehicles, trailers and semi-trailers",292,292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semitrailers,C,C (10-33),Manufacturing,1991-03-07T00:00:00Z,34.36164383561644
CHOICES HOMECARE (YORKSHIRE) LIMITED,Barnsley,S752BL,20240731,150,131,14.5,88100,88100 : Social work activities without accommodation for the elderly and disabled,88,88,88 : Social work activities without accommodation,881,881 : Social work activities without accommodation for the elderly and disabled,Q,Q (86-88),Human health and social work activities,1999-06-25T00:00:00Z,26.054794520547944
COURIER LOGISTICS LIMITED,Rotherham,S253AF,20240331,150,156,-3.85,49410,49410 : Freight transport by road,49,49,49 : Land transport and transport via pipelines,494,494 : Freight transport by road and removal services,H,H (49-53),Transportation and storage,1994-08-15T00:00:00Z,30.91780821917808
OMNIDYNAMIC GROUP LIMITED,Rotherham,S253AF,20240331,150,NA,NA,64209,"64209 : Activities of other holding companies (not including agricultural, production, construction, distribution and financial  services holding companies) n.e.c",64,64,"64 : Financial service activities, except insurance and pension funding",642,642 : Activities of holding companies,K,K (64-66),Financial and insurance activities,2023-05-12T00:00:00Z,2.158904109589041
ABBEY GLEN LIMITED,Sheffield,S208NQ,20241231,149,149,0,96010,96010 : Washing and (dry-)cleaning of textile and fur products,96,96,96 : Other personal service activities,960,960 : Other personal service activities,S,S (94-96),Other service activities,1919-09-30T00:00:00Z,105.84383561643835
FORD WINDOWS LIMITED,Sheffield,S95JF,20231231,148,156,-5.13,32990,32990 : Other manufacturing nec,32,32,32 : Other manufacturing,329,329 : Other manufacturing,C,C (10-33),Manufacturing,1994-09-12T00:00:00Z,30.84109589041096
